	LSIE_05 INDOOR				video part 1 duration: 		video part 2 duration:															
		0:04:48.588	0:05:37.364	337.364207	Behavioral Event	Purposeful	Subject takes abnormal step on treadmill	duration off	"(Event/Category/Participant Response, Participant/Action/Type/Walk/Pause, Participant/Action/Body Part/Legs, Offset)"	ActTPauseOFF												
	0:26:34.729	0:07:25.469	0:08:14.245	494.245007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON1												
	0:26:36.466	0:07:27.206	0:08:15.982	495.982007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF1												
	0:27:20.383	0:08:11.123	0:08:59.899	539.899007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON2												
	0:27:25.526	0:08:16.266	0:09:05.042	545.042007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF2												
	0:28:06.103	0:08:56.843	0:09:45.619	585.619007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON3												
	0:28:08.808	0:08:59.548	0:09:48.324	588.324007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF3												
		0:09:36.109	0:10:24.885	624.885207	Behavioral Event 	Purposeful 	Subject lifts left arm to face	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Onset)"	ArmLiftLON												
		0:09:39.045	0:10:27.821	627.821207	Behavioral Event 	Purposeful 	Subject lifts left arm to face	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Offset)"	ArmLiftLOFF												
		0:09:56.129	0:10:44.905	644.905207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Onset)"	ActDanceLON												
		0:10:08.108	0:10:56.884	656.884207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Offset)"	ActDanceLOFF												
		0:10:18.418	0:11:07.194	667.194207	Behavioral Event	Purposeful	Subject stops walking		"(Event/Category/Participant Response, Participant/Action/Type/Walk/End Stride, Participant/Action/Body Part/Legs, Experimental Context/Standing)"	ActStop												
		0:10:19.486	0:11:08.262	668.262207	Behavioral Event	Purposeful	Subject resumes walking		"(Event/Category/Participant Response, Participant/Action/Type/Walk/Start Stride, Participant/Action/Body Part/Legs, Experimental Context/Walking)"	ActStart												
	0:29:59.385	0:10:50.125	0:11:38.901	698.901007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON4												
	0:30:00.387	0:10:51.127	0:11:39.903	699.903007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF4												
