		LSIE_05 OUTDOOR				video part 1 duration: 		video part 2 duration:													
						video baseline start time:	0:00:08.875														
						ET baseline start time:	0:29:10.072														
"Using avidemux 2.6 for eyetracker, 2.5 for video"						difference between video and ET:	0:29:01.197														
Combining camcorder videos	0:54:48.309					trigger delay from ET:	0:27:25.256	trigger delay from video	0:01:35.941												
Trigger Time (h:mm:ss.000)	ET Time (2)	ET Time (h:mm:ss.000)	Video Time (h:mm:ss.000)	EEG Time (h:mm:ss.000)	EEG Time (sec)	Category 1 	Category 2	Event	Notes	Hed 2.0											
					104.7340063	Environmental Event 	Terrain 	Onset of Gravel Terrain 		"(Event/Category/Environmental, Experiment Context/Walking/Gravel, Onset)"	GravelON										
		0:29:09.990	0:00:08.793	0:01:44.734	104.7340063	Scenario Event 	Verbal Cue	"Experimenter says ''Start walking"""		"(Event/Category/Experimental Stimulus/Instruction, Object/Complex/Person/Experimenter/1, Sensory Presentation/Auditory/Real World Sounds/Human Voice, Participant/Effect/Auditory)"	AudExp1										
0:01:44.816		0:29:10.072	0:00:08.875	0:01:44.816	104.8164063	Scenario Event 	Non-Verbal Cue	"Start of ""Baseline"""		(Event/Category/Experiment control/Sequence/Block Begins/Baseline)	BBBase										
		0:29:15.301	0:00:14.104	0:01:50.045	110.0450063	Scenario Event 	Verbal Cue	"Experimenter says ''Stay left"""		"(Event/Category/Experimental Stimulus/Instruction, Object/Complex/Person/Experimenter/1, Sensory Presentation/Auditory/Real World Sounds/Human Voice, Participant/Effect/Auditory)"	AudExp2										
			0:00:26.760	0:02:02.701	122.7014063	Scenario Event 	Non-Verbal Cue	Slow down walking sound played 		"(Event/Category/Experimental stimulus/Instruction, Sensory presentation/Auditory/Nameable/Tune, Participant/Effect/Feedback/Slow Walk)"	AudFSW										
		0:29:28.562	0:00:27.365	0:02:03.306	123.3060063	Environmental Event 	Distractor	Horn heard in background	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Horn, Sensory Presentation/Auditory/Real World Sounds/Horn, Onset)"	AudON1										
		0:29:34.392	0:00:33.195	0:02:09.136	129.1360063	Scenario Event 	Verbal Cue	"Experimenter says ''Hold it under your tongue"""		"(Event/Category/Experimental Stimulus/Instruction, Object/Complex/Person/Experimenter/1, Sensory Presentation/Auditory/Real World Sounds/Human Voice, Participant/Effect/Auditory)"	AudExp3										
		0:29:34.641	0:00:33.444	0:02:09.385	129.3850063	Environmental Event 	Distractor	Horn heard in background	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Horn, Sensory Presentation/Auditory/Real World Sounds/Horn, Offset)"	AudOFF1										
			0:00:34.467	0:02:10.408	130.4084063	Scenario Event/Behavioral Event	Non-Verbal Cue/Purposeful	Saliva swab inserted/Subject opens mouth	duration on	"(Event/Category/Experimental Procedure/Swab, Object/Complex/Saliva Swab, Participant/Action/Body Part/Mouth/Open, Participant/Effect/Taste, Onset)"	SWABON										
			0:00:56.089	0:02:32.030	152.0304063	Environmental Event 	Distractor	Car heard in background	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Car, Sensory Presentation/Auditory/Real World Sounds/Car, Onset)"	AudON2										
		0:30:01.196	0:00:59.999	0:02:35.940	155.9400063	Behavioral Event	Purposeful	Subject sighs		"(Event/Category/Participant Response, Participant/Action/Type/Sigh)"	ActSigh										
			0:01:05.632	0:02:41.573	161.5734063	Environmental Event 	Distractor	Car heard in background	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Car, Sensory Presentation/Auditory/Real World Sounds/Car, Offset)"	AudOFF2										
			0:01:06.399	0:02:42.340	162.3404063	Behavioral Event 	Purposeful 	Subject lifts left leg to scratch with left hand	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Leg/Left/Lift, Onset)"	LegLiftLON										
			0:01:06.533	0:02:42.474	162.4744063	Behavioral Event	Purposeful	Subject scratches left leg with left hand	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Hand/Left/Scratch, Participant/Effect/Tactile/Vibration, Onset)"	ActScratchLON										
			0:01:07.033	0:02:42.974	162.9744063	Behavioral Event 	Purposeful 	Subject lifts left leg to scratch with left hand	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Leg/Left/Lift, Offset)"	LegLiftLOFF										
			0:01:07.434	0:02:43.375	163.3754063	Behavioral Event	Purposeful	Subject scratches left leg with left hand	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Hand/Left/Scratch, Participant/Effect/Tactile/Vibration, Offset)"	ActScratchLOFF										
			0:01:18.745	0:02:54.686	174.6864063	Behavioral Event	Purposeful	Subject scratches left leg with left hand	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Hand/Left/Scratch, Participant/Effect/Tactile/Vibration, Onset)"	ActScratchLON										
			0:01:18.912	0:02:54.853	174.8534063	Behavioral Event 	Purposeful 	Subject lifts left leg to scratch with left hand	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Leg/Left/Lift, Onset)"	LegLiftLON										
			0:01:19.512	0:02:55.453	175.4534063	Behavioral Event 	Purposeful 	Subject lifts left leg to scratch with left hand	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Leg/Left/Lift, Offset)"	LegLiftLOFF										
